variantId,model,ram,storage,saleMode,rrp,netPrice,startDate,endDate,sourceFileDisplayName,sourceSheet,archiveReason
RET- 17-18-R6-SF_PLUS,Galaxy S26 Ultra,N/A,256GB,SF_PLUS,46900.0,41900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R6-TRADEUP,Galaxy S26 Ultra,N/A,256GB,TRADE_UP,46900.0,39900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R6-STUDENT,Galaxy S26 Ultra,N/A,256GB,STUDENT,46900.0,39865.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R6-FLASHSALE,Galaxy S26 Ultra,N/A,256GB,STANDARD_PAYMENT,46900.0,39900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R7-SF_PLUS,Galaxy S26+,N/A,512GB,SF_PLUS,48900.0,36900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R8-SF_PLUS,Galaxy S26+,N/A,256GB,SF_PLUS,40900.0,30900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R9-SF_PLUS,Galaxy S26,N/A,512GB,SF_PLUS,41900.0,29900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R10-SF_PLUS,Galaxy S26,N/A,256GB,SF_PLUS,33900.0,27900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R11-SF_PLUS,Galaxy S25 Ultra,N/A,256GB,SF_PLUS,42900.0,30900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R12-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,SF_PLUS,26900.0,23900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R12-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,STUDENT,26900.0,22865.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R13-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,SF_PLUS,22900.0,19900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R13-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,STUDENT,22900.0,19465.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R14-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,256GB,STANDARD_PAYMENT,26900.0,20900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R15-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,128GB,STANDARD_PAYMENT,22900.0,17900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R16-TRADEUP,Galaxy Z Fold8 Ultra,N/A,1TB,TRADE_UP,93900.0,86900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R17-TRADEUP,Galaxy Z Fold8 Ultra,N/A,512GB,TRADE_UP,77900.0,72900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R18-TRADEUP,Galaxy Z Fold8 Ultra,N/A,256GB,TRADE_UP,69900.0,64900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R19-TRADEUP,Galaxy Z Fold8,N/A,1TB,TRADE_UP,85900.0,78900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R20-TRADEUP,Galaxy Z Fold8,N/A,512GB,TRADE_UP,69900.0,64900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R21-TRADEUP,Galaxy Z Fold8,N/A,256GB,TRADE_UP,61900.0,56900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R24-SF_PLUS,Galaxy Z Fold 7,N/A,1TB,SF_PLUS,87900.0,69900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
