variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
TAB-R47-STANDARD_PAYMENT,A56 / A36,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,47,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R48-STANDARD_PAYMENT,S25 FE,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,48,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R49-STANDARD_PAYMENT,S25 Ultra,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,49,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R50-STANDARD_PAYMENT,S26 Series,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,50,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R51-STANDARD_PAYMENT,A57 / A37,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,51,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R52-STANDARD_PAYMENT,"Watch Band and Buds Case
(Watch Ultra Band & Watch7 Band & Oder model / Buds3 Case",N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,52,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R53-STANDARD_PAYMENT,Watch8 Band,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,53,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R70,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,70,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R71,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,71,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
ACC-ERR-R72,,N/A,STANDARD_ACCESSORY,STANDARD_PAYMENT,FORMULA_CALCULATION_FAILURE,Quarantined by Rule Engine: FORMULA_CALCULATION_FAILURE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,72,#ERROR!,Verify formula in source Excel workbook or wait for branch supervisor confirmation
