variantId,model,ram,storage,connectivity,productCodeType,saleMode,rrp,standardDiscount,sfPlusDiscount,studentDiscount,tradeUpDiscount,netPrice,priceCoupon,studentCoupon,tradeUpCode,sfPlusEligible,tradeUpEligible,studentEligible,startDate,endDate,sourceBadge,sourceFileDisplayName,sourceSheet,sourceRow,headerPath,validationStatus
RET-อัพเดท-R32-STUDENT,Galaxy A57 5G,N/A,12/256GB,5G,STANDARD_SM,STUDENT,17999.0,0,0,2520,0,15479.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,32,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R33-SF_PLUS,Galaxy A57 5G,N/A,8/256GB,5G,STANDARD_SM,SF_PLUS,16999.0,0,0,0,0,16999.0,,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,33,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R33-STUDENT,Galaxy A57 5G,N/A,8/256GB,5G,STANDARD_SM,STUDENT,16999.0,0,0,2550,0,14449.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,33,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R34-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/512GB,5G,STANDARD_SM,STANDARD_PAYMENT,20999.0,3000.0,0,0,0,17999.0,01,,,NO,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,34,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R34-STUDENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/512GB,5G,STANDARD_SM,STUDENT,20999.0,0,0,2520,0,18479.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,34,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R35-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/256GB,5G,STANDARD_SM,STANDARD_PAYMENT,17999.0,2000.0,0,0,0,15999.0,01,,,NO,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,35,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R35-STUDENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/256GB,5G,STANDARD_SM,STUDENT,17999.0,0,0,2520,0,15479.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,35,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R36-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,8/256GB,5G,STANDARD_SM,STANDARD_PAYMENT,16999.0,2000.0,0,0,0,14999.0,01,,,NO,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,36,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R36-STUDENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,8/256GB,5G,STANDARD_SM,STUDENT,16999.0,0,0,2550,0,14449.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,36,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R37-SF_PLUS,"Galaxy A37 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,5G,STANDARD_SM,SF_PLUS,13999.0,0,0,0,0,13999.0,,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,37,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R37-STUDENT,"Galaxy A37 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,5G,STANDARD_SM,STUDENT,13999.0,0,0,560,0,13439.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,37,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
